latitude,longitude,acq_date,confidence,frp,daynight
38.73006,26.93117,2026-05-16,n,0.92,N
38.73751,26.92856,2026-05-16,n,2.22,N
38.73767,26.94769,2026-05-16,n,1.09,N
38.73847,26.94313,2026-05-16,n,1.09,N
38.74084,26.92952,2026-05-16,n,1.35,N
38.74101,26.94864,2026-05-16,n,1.09,N
38.74418,26.93047,2026-05-16,n,1.35,N
38.7534,26.93785,2026-05-16,n,1.42,N
39.09296,27.51355,2026-05-16,n,1.39,N
39.1123,27.52424,2026-05-16,n,0.56,N
39.16708,27.63101,2026-05-16,n,0.65,N
40.41647,17.30767,2026-05-16,n,1.35,N
40.50281,17.2156,2026-05-16,n,1.3,N
40.50777,17.21047,2026-05-16,n,2.24,N
65.56225,22.22677,2026-05-16,n,4.63,D
65.56425,22.21798,2026-05-16,n,4.63,D
52.84596,29.98825,2026-05-16,n,1.68,N
59.12853,9.62407,2026-05-16,n,0.32,N
61.77333,5.29971,2026-05-16,n,0.94,N
63.31773,9.14301,2026-05-16,n,1.19,N
50.65361,11.42916,2026-05-16,n,1.16,N
51.06824,6.83306,2026-05-16,n,0.41,N
51.36486,6.71046,2026-05-16,n,1.9,N
51.36584,6.7049,2026-05-16,n,2.51,N
51.36912,6.7064,2026-05-16,n,2.51,N
51.4244,6.73816,2026-05-16,n,1.12,N
51.48045,6.72157,2026-05-16,n,1.61,N
51.48144,6.71599,2026-05-16,n,1.86,N
51.48243,6.71042,2026-05-16,n,1.86,N
51.48341,6.70485,2026-05-16,n,5.35,N
51.48373,6.72306,2026-05-16,n,1.61,N
51.4857,6.71191,2026-05-16,n,1.86,N
51.4867,6.71323,2026-05-16,n,0.74,N
51.487,6.73143,2026-05-16,n,0.54,N
51.48769,6.70768,2026-05-16,n,0.74,N
51.49027,6.73292,2026-05-16,n,1.82,N
51.49355,6.73441,2026-05-16,n,1.82,N
51.49583,6.74147,2026-05-16,n,4.6,N
51.49781,6.73034,2026-05-16,n,0.64,N
51.4988,6.72479,2026-05-16,n,0.64,N
51.50208,6.72628,2026-05-16,n,0.64,N
51.87492,4.29651,2026-05-16,n,0.66,N
51.94421,4.1084,2026-05-16,n,0.86,N
52.15103,10.40574,2026-05-16,n,1.27,N
52.1524,10.39919,2026-05-16,n,1.27,N
52.15451,10.40766,2026-05-16,n,3.45,N
52.15587,10.40112,2026-05-16,n,3.45,N
52.15798,10.40959,2026-05-16,n,3.45,N
52.16009,10.41805,2026-05-16,n,1.19,N
52.16357,10.41997,2026-05-16,n,1.19,N
52.40193,12.49559,2026-05-16,n,1.01,N
52.47779,4.58468,2026-05-16,n,0.76,N
52.48344,4.59295,2026-05-16,n,2.57,N
52.4843,4.58737,2026-05-16,n,0.76,N
52.49063,4.61374,2026-05-16,n,2.0,N
52.49216,4.62625,2026-05-16,n,0.9,N
52.49389,4.61509,2026-05-16,n,2.0,N
52.49475,4.60951,2026-05-16,n,2.0,N
52.49688,4.61141,2026-05-16,n,1.24,N
53.34007,-1.75035,2026-05-16,n,1.27,N
53.39959,-1.38441,2026-05-16,n,0.58,N
47.17289,7.55932,2026-05-16,n,1.45,N
47.17639,7.56088,2026-05-16,n,1.45,N
47.28596,0.78829,2026-05-16,n,1.01,N
50.95736,5.79703,2026-05-16,n,0.55,N
50.9704,5.80265,2026-05-16,n,6.89,N
50.97366,5.80405,2026-05-16,n,6.89,N
51.02811,2.27343,2026-05-16,n,1.31,N
51.0289,2.26779,2026-05-16,n,1.48,N
51.03204,2.24521,2026-05-16,n,4.03,N
51.03321,2.28706,2026-05-16,n,2.01,N
51.03459,2.25202,2026-05-16,n,1.48,N
51.03478,2.27578,2026-05-16,n,1.1,N
51.03654,2.28823,2026-05-16,n,1.58,N
