latitude,longitude,acq_date,confidence,frp,daynight
35.81578,-0.26829,2026-05-17,n,1.12,N
36.1289,1.24041,2026-05-17,n,1.99,N
36.14035,2.92862,2026-05-17,n,0.74,N
36.17909,3.75007,2026-05-17,n,2.2,N
36.5885,10.3192,2026-05-17,n,0.57,N
36.59526,2.87884,2026-05-17,n,1.07,N
36.63092,3.23021,2026-05-17,n,1.17,N
36.68024,3.12407,2026-05-17,n,0.82,N
36.74826,3.08206,2026-05-17,n,1.31,N
36.96864,-1.90677,2026-05-17,n,1.38,N
37.3607,-6.67482,2026-05-17,n,0.5,N
38.79403,15.21509,2026-05-17,n,2.41,N
39.93718,-3.74674,2026-05-17,n,0.83,N
40.57829,0.54344,2026-05-17,n,0.64,N
41.45415,1.98061,2026-05-17,n,1.26,N
41.47618,-1.48726,2026-05-17,n,0.48,N
45.1436,9.94509,2026-05-17,n,3.5,N
45.14459,9.93982,2026-05-17,n,3.5,N
45.14799,9.94109,2026-05-17,n,3.5,N
45.37972,11.9452,2026-05-17,n,0.99,N
45.38143,11.9462,2026-05-17,n,2.38,N
45.38208,11.95269,2026-05-17,n,0.86,N
45.3833,11.94668,2026-05-17,n,0.99,N
45.45797,10.45939,2026-05-17,n,1.34,N
45.45901,10.454,2026-05-17,n,1.34,N
45.46244,10.45531,2026-05-17,n,1.34,N
45.47901,10.21293,2026-05-17,n,1.86,N
45.50944,10.24851,2026-05-17,n,0.73,N
45.51046,10.24319,2026-05-17,n,0.73,N
45.51702,10.34291,2026-05-17,n,0.74,N
45.51931,11.49834,2026-05-17,n,1.07,N
45.68453,9.4632,2026-05-17,n,0.56,N
45.78102,8.68512,2026-05-17,n,0.59,N
46.06928,13.62849,2026-05-17,n,0.63,N
46.229,13.07738,2026-05-17,n,1.23,N
58.47647,1.26285,2026-05-17,n,1.5,N
58.48043,1.26696,2026-05-17,n,1.5,N
51.03411,2.27529,2026-05-17,n,1.5,N
51.03729,2.28615,2026-05-17,n,3.51,N
51.04578,2.30165,2026-05-17,n,1.28,N
52.74511,8.39263,2026-05-17,n,0.84,N
53.1335,8.68297,2026-05-17,n,3.55,N
53.13614,8.67886,2026-05-17,n,5.64,N
53.13699,8.67435,2026-05-17,n,2.56,N
53.1427,8.68087,2026-05-17,n,2.56,N
43.52353,-5.72991,2026-05-17,n,1.46,N
43.52486,-5.73455,2026-05-17,n,1.46,N
43.53004,-5.73187,2026-05-17,n,1.46,N
50.04527,28.15317,2026-05-17,n,8.33,D
64.6618,21.2845,2026-05-17,n,3.99,D
64.66537,21.27874,2026-05-17,n,6.04,D
37.80526,12.48384,2026-05-17,n,3.96,D
38.73753,26.93211,2026-05-17,l,2.08,D
38.73944,26.9458,2026-05-17,l,3.93,D
39.8656,26.24502,2026-05-17,n,3.98,D
40.20439,18.20206,2026-05-17,n,3.09,D
40.45211,18.08979,2026-05-17,n,2.93,D
43.44554,4.89829,2026-05-17,l,4.92,D
44.53654,10.83604,2026-05-17,l,2.48,D
44.93002,10.50902,2026-05-17,n,5.52,D
44.93169,10.50878,2026-05-17,n,3.61,D
45.06803,12.26338,2026-05-17,n,2.15,D
45.06905,12.26148,2026-05-17,n,1.86,D
45.45477,11.3353,2026-05-17,n,8.45,D
45.46204,10.45645,2026-05-17,h,7.14,D
45.47661,12.06584,2026-05-17,n,1.65,D
45.48167,10.21277,2026-05-17,n,3.0,D
45.5033,11.91282,2026-05-17,n,3.59,D
45.51887,11.4989,2026-05-17,l,4.27,D
45.54865,11.96755,2026-05-17,n,31.58,D
45.89615,13.46743,2026-05-17,n,5.32,D
46.78793,16.81949,2026-05-17,n,2.23,D
46.79025,16.81983,2026-05-17,n,3.74,D
47.24237,16.32895,2026-05-17,n,1.94,D
48.60778,21.1785,2026-05-17,n,3.61,D
48.97959,29.52046,2026-05-17,n,4.71,D
52.15395,10.40185,2026-05-17,n,5.63,D
52.15539,10.40773,2026-05-17,n,5.63,D
52.33002,23.2707,2026-05-17,n,2.48,D
52.49255,4.61362,2026-05-17,n,2.99,D
52.76874,13.84475,2026-05-17,n,1.53,D
55.4856,28.60019,2026-05-17,n,4.17,D
56.78872,16.32141,2026-05-17,n,1.85,D
57.70853,18.80604,2026-05-17,n,2.8,D
64.66335,21.28973,2026-05-17,n,5.37,D
64.6636,21.28068,2026-05-17,n,8.54,D
64.66713,21.28788,2026-05-17,n,6.06,D
36.17927,3.74765,2026-05-17,l,4.05,D
36.53172,2.73793,2026-05-17,n,3.14,D
36.55309,9.45498,2026-05-17,n,5.52,D
36.55369,9.45253,2026-05-17,n,5.99,D
36.59642,2.87978,2026-05-17,n,1.69,D
36.68043,3.12243,2026-05-17,n,2.34,D
37.06636,14.31796,2026-05-17,n,1.93,D
37.80449,12.48884,2026-05-17,n,1.73,D
37.37319,-5.89634,2026-05-17,n,5.15,D
37.43645,-6.10037,2026-05-17,n,1.05,D
37.98363,-8.82051,2026-05-17,n,8.19,D
37.98502,-8.8147,2026-05-17,n,8.19,D
43.44169,4.89923,2026-05-17,n,3.39,D
43.4457,4.89851,2026-05-17,l,4.35,D
45.14585,9.94473,2026-05-17,n,3.67,D
45.24317,8.71892,2026-05-17,n,3.66,D
41.96432,-8.67917,2026-05-17,n,4.87,D
64.64226,24.42567,2026-05-17,n,1.14,N
64.64338,24.42527,2026-05-17,n,1.58,N
64.64808,24.42558,2026-05-17,n,1.14,N
64.64919,24.42514,2026-05-17,n,1.58,N
64.66662,21.27366,2026-05-17,n,1.3,N
64.66692,21.2854,2026-05-17,n,1.3,N
65.56125,22.21814,2026-05-17,n,1.64,N
65.56482,22.20875,2026-05-17,n,1.68,N
65.56505,22.22,2026-05-17,n,1.68,N
65.56743,22.21727,2026-05-17,n,1.64,N
65.76519,24.18601,2026-05-17,n,0.84,N
65.76772,24.18261,2026-05-17,n,0.89,N
65.76778,24.19239,2026-05-17,n,0.89,N
65.77106,24.18589,2026-05-17,n,0.84,N
41.01826,28.5562,2026-05-17,n,0.82,N
41.02235,28.55687,2026-05-17,n,1.2,N
45.28912,25.11116,2026-05-17,n,0.57,N
45.95103,25.27978,2026-05-17,n,1.0,N
37.77197,27.43701,2026-05-17,n,1.06,N
37.86047,29.37154,2026-05-17,n,1.85,N
